station,departure_plan_datetime,category,long,lat,arrival_delay_m,departure_delay_m,departure_plan_hour,date,hour,day_of_week,state,city,temperature,rained
Ahrensfelde,2024-06-25 13:00:00,4.0,13.565154,52.571375,0.0,0.5,13.0,2024-06-25,13,1,Berlin,Berlin,26.799999999999997,False
Ahrensfelde,2024-06-25 14:00:00,4.0,13.565154,52.571375,0.0,0.5,14.0,2024-06-25,14,1,Berlin,Berlin,26.549999999999997,False
Ahrensfelde,2024-06-25 15:00:00,4.0,13.565154,52.571375,0.0,0.5,15.0,2024-06-25,15,1,Berlin,Berlin,25.9,False
Ahrensfelde,2024-06-25 16:00:00,4.0,13.565154,52.571375,0.0,0.5,16.0,2024-06-25,16,1,Berlin,Berlin,25.35,False
Ahrensfelde,2024-06-25 17:00:00,4.0,13.565154,52.571375,0.0,0.5,17.0,2024-06-25,17,1,Berlin,Berlin,24.75,False
Ahrensfelde,2024-06-25 18:00:00,4.0,13.565154,52.571375,0.0,0.5,18.0,2024-06-25,18,1,Berlin,Berlin,23.549999999999997,False
Ahrensfelde,2024-06-25 19:00:00,4.0,13.565154,52.571375,0.0,0.5,19.0,2024-06-25,19,1,Berlin,Berlin,21.95,False
Ahrensfelde,2024-06-25 20:00:00,4.0,13.565154,52.571375,0.0,0.5,20.0,2024-06-25,20,1,Berlin,Berlin,19.9,False
Ahrensfelde,2024-06-25 21:00:00,4.0,13.565154,52.571375,0.0,0.5,21.0,2024-06-25,21,1,Berlin,Berlin,18.9,False
Ahrensfelde,2024-06-25 22:00:00,4.0,13.565154,52.571375,0.0,0.5,22.0,2024-06-25,22,1,Berlin,Berlin,18.8,False
Ahrensfelde,2024-06-26 04:00:00,4.0,13.565154,52.571375,0.0,0.0,4.0,2024-06-26,4,2,Berlin,Berlin,18.450000000000003,False
Ahrensfelde,2024-06-26 05:00:00,4.0,13.565154,52.571375,0.0,0.5,5.0,2024-06-26,5,2,Berlin,Berlin,20.75,False
Ahrensfelde,2024-06-26 06:00:00,4.0,13.565154,52.571375,0.0,0.5,6.0,2024-06-26,6,2,Berlin,Berlin,23.25,False
Ahrensfelde,2024-06-26 07:00:00,4.0,13.565154,52.571375,0.0,0.5,7.0,2024-06-26,7,2,Berlin,Berlin,25.05,False
Ahrensfelde,2024-06-26 08:00:00,4.0,13.565154,52.571375,0.0,0.5,8.0,2024-06-26,8,2,Berlin,Berlin,26.5,False
Ahrensfelde,2024-06-26 09:00:00,4.0,13.565154,52.571375,0.0,0.5,9.0,2024-06-26,9,2,Berlin,Berlin,27.75,False
Ahrensfelde,2024-06-26 10:00:00,4.0,13.565154,52.571375,0.0,0.5,10.0,2024-06-26,10,2,Berlin,Berlin,28.55,False
Ahrensfelde,2024-06-26 11:00:00,4.0,13.565154,52.571375,0.0,0.0,11.0,2024-06-26,11,2,Berlin,Berlin,29.1,False
Ahrensfelde,2024-06-26 12:00:00,4.0,13.565154,52.571375,0.0,0.5,12.0,2024-06-26,12,2,Berlin,Berlin,29.9,False
Ahrensfelde,2024-06-26 13:00:00,4.0,13.565154,52.571375,0.0,0.5,13.0,2024-06-26,13,2,Berlin,Berlin,30.4,False
Ahrensfelde,2024-06-26 14:00:00,4.0,13.565154,52.571375,0.0,0.5,14.0,2024-06-26,14,2,Berlin,Berlin,30.549999999999997,False
Ahrensfelde,2024-06-26 15:00:00,4.0,13.565154,52.571375,0.0,0.5,15.0,2024-06-26,15,2,Berlin,Berlin,30.65,False
Ahrensfelde,2024-06-26 16:00:00,4.0,13.565154,52.571375,0.0,0.5,16.0,2024-06-26,16,2,Berlin,Berlin,30.4,False
Ahrensfelde,2024-06-26 17:00:00,4.0,13.565154,52.571375,0.0,0.5,17.0,2024-06-26,17,2,Berlin,Berlin,29.799999999999997,False
Ahrensfelde,2024-06-26 18:00:00,4.0,13.565154,52.571375,2.0,2.0,18.0,2024-06-26,18,2,Berlin,Berlin,28.5,False
Ahrensfelde,2024-06-26 19:00:00,4.0,13.565154,52.571375,0.0,0.5,19.0,2024-06-26,19,2,Berlin,Berlin,26.15,False
Ahrensfelde,2024-06-26 20:00:00,4.0,13.565154,52.571375,0.0,0.5,20.0,2024-06-26,20,2,Berlin,Berlin,23.5,False
Ahrensfelde,2024-06-26 21:00:00,4.0,13.565154,52.571375,0.0,0.5,21.0,2024-06-26,21,2,Berlin,Berlin,22.1,False
Ahrensfelde,2024-06-26 22:00:00,4.0,13.565154,52.571375,0.0,0.5,22.0,2024-06-26,22,2,Berlin,Berlin,21.4,False
Ahrensfelde,2024-06-27 04:00:00,4.0,13.565154,52.571375,0.0,0.0,4.0,2024-06-27,4,3,Berlin,Berlin,21.75,False
Ahrensfelde,2024-06-27 05:00:00,4.0,13.565154,52.571375,0.0,0.5,5.0,2024-06-27,5,3,Berlin,Berlin,23.3,False
Ahrensfelde,2024-06-27 06:00:00,4.0,13.565154,52.571375,0.0,0.5,6.0,2024-06-27,6,3,Berlin,Berlin,24.85,False
Ahrensfelde,2024-06-27 07:00:00,4.0,13.565154,52.571375,0.0,0.5,7.0,2024-06-27,7,3,Berlin,Berlin,25.299999999999997,False
Ahrensfelde,2024-06-27 08:00:00,4.0,13.565154,52.571375,0.0,0.5,8.0,2024-06-27,8,3,Berlin,Berlin,25.45,False
Ahrensfelde,2024-06-27 09:00:00,4.0,13.565154,52.571375,0.0,0.5,9.0,2024-06-27,9,3,Berlin,Berlin,25.6,False
Ahrensfelde,2024-06-27 10:00:00,4.0,13.565154,52.571375,0.0,0.5,10.0,2024-06-27,10,3,Berlin,Berlin,27.25,False
Ahrensfelde,2024-06-27 11:00:00,4.0,13.565154,52.571375,0.0,0.0,11.0,2024-06-27,11,3,Berlin,Berlin,29.5,False
Ahrensfelde,2024-06-27 12:00:00,4.0,13.565154,52.571375,0.0,0.5,12.0,2024-06-27,12,3,Berlin,Berlin,28.95,False
Ahrensfelde,2024-06-27 13:00:00,4.0,13.565154,52.571375,0.0,0.5,13.0,2024-06-27,13,3,Berlin,Berlin,29.0,False
Ahrensfelde,2024-06-27 14:00:00,4.0,13.565154,52.571375,0.0,0.5,14.0,2024-06-27,14,3,Berlin,Berlin,29.65,False
Ahrensfelde,2024-06-27 15:00:00,4.0,13.565154,52.571375,0.0,0.5,15.0,2024-06-27,15,3,Berlin,Berlin,29.299999999999997,False
Albrechtshof,2024-06-23 13:00:00,5.0,13.128917,52.549396,0.0,0.0,13.0,2024-06-23,13,6,Berlin,Berlin,21.299999999999997,False
Albrechtshof,2024-06-23 14:00:00,5.0,13.128916999999998,52.549396,0.0,0.2,14.0,2024-06-23,14,6,Berlin,Berlin,21.9,False
Albrechtshof,2024-06-23 15:00:00,5.0,13.128917,52.549396,2.0,1.8333333333333333,15.0,2024-06-23,15,6,Berlin,Berlin,22.4,False
Albrechtshof,2024-06-23 16:00:00,5.0,13.128917,52.549396,0.0,0.3333333333333333,16.0,2024-06-23,16,6,Berlin,Berlin,21.95,False
Albrechtshof,2024-06-23 17:00:00,5.0,13.128916999999998,52.549396,0.0,0.4,17.0,2024-06-23,17,6,Berlin,Berlin,21.2,False
Albrechtshof,2024-06-23 18:00:00,5.0,13.128917,52.549396,1.0,0.5,18.0,2024-06-23,18,6,Berlin,Berlin,20.4,False
Albrechtshof,2024-06-23 19:00:00,5.0,13.128917,52.549396,1.0,0.6666666666666666,19.0,2024-06-23,19,6,Berlin,Berlin,19.35,False
Albrechtshof,2024-06-23 20:00:00,5.0,13.128916999999998,52.549396,1.0,0.4,20.0,2024-06-23,20,6,Berlin,Berlin,17.85,False
Albrechtshof,2024-06-23 21:00:00,5.0,13.128916999999998,52.549396,0.0,0.0,21.0,2024-06-23,21,6,Berlin,Berlin,16.5,False
Albrechtshof,2024-06-23 22:00:00,5.0,13.128917,52.549396,1.0,0.75,22.0,2024-06-23,22,6,Berlin,Berlin,15.3,False
Albrechtshof,2024-06-23 23:00:00,5.0,13.128917,52.549396,0.0,0.0,23.0,2024-06-23,23,6,Berlin,Berlin,13.95,False
Albrechtshof,2024-06-24 00:00:00,5.0,13.128917,52.549396,1.0,0.6666666666666666,0.0,2024-06-24,0,0,Berlin,Berlin,13.100000000000001,False
Albrechtshof,2024-06-24 02:00:00,5.0,13.128917,52.549396,0.0,0.0,2.0,2024-06-24,2,0,Berlin,Berlin,12.7,False
Albrechtshof,2024-06-24 03:00:00,5.0,13.128917,52.549396,1.0,1.0,3.0,2024-06-24,3,0,Berlin,Berlin,12.7,False
Albrechtshof,2024-06-24 04:00:00,5.0,13.128917,52.549396,0.0,0.3333333333333333,4.0,2024-06-24,4,0,Berlin,Berlin,13.35,False
Albrechtshof,2024-06-24 05:00:00,5.0,13.128917,52.549396,0.0,0.5,5.0,2024-06-24,5,0,Berlin,Berlin,15.65,False
Albrechtshof,2024-06-24 06:00:00,5.0,13.128917,52.549396,0.0,0.0,6.0,2024-06-24,6,0,Berlin,Berlin,18.0,False
Albrechtshof,2024-06-24 07:00:00,5.0,13.128917,52.549396,0.0,0.5,7.0,2024-06-24,7,0,Berlin,Berlin,19.4,False
Albrechtshof,2024-06-24 08:00:00,5.0,13.128916999999998,52.549396,0.0,0.4,8.0,2024-06-24,8,0,Berlin,Berlin,20.3,False
Albrechtshof,2024-06-24 09:00:00,5.0,13.128916999999998,52.549396,0.0,0.0,9.0,2024-06-24,9,0,Berlin,Berlin,20.45,False
Albrechtshof,2024-06-24 10:00:00,5.0,13.128916999999998,52.549396,0.0,0.6,10.0,2024-06-24,10,0,Berlin,Berlin,20.85,False
Albrechtshof,2024-06-24 11:00:00,5.0,13.128917,52.549396,0.0,0.0,11.0,2024-06-24,11,0,Berlin,Berlin,21.85,False
Albrechtshof,2024-06-24 12:00:00,5.0,13.128917,52.549396,1.0,0.5,12.0,2024-06-24,12,0,Berlin,Berlin,22.75,False
Albrechtshof,2024-06-24 13:00:00,5.0,13.128916999999998,52.549396,4.0,3.4,13.0,2024-06-24,13,0,Berlin,Berlin,23.6,False
Albrechtshof,2024-06-24 14:00:00,5.0,13.128917,52.549396,0.0,0.0,14.0,2024-06-24,14,0,Berlin,Berlin,24.4,False
Albrechtshof,2024-06-24 15:00:00,5.0,13.128917,52.549396,0.0,0.0,15.0,2024-06-24,15,0,Berlin,Berlin,24.299999999999997,False
Albrechtshof,2024-06-24 19:00:00,5.0,13.128916999999998,52.549396,0.0,0.2,19.0,2024-06-24,19,0,Berlin,Berlin,20.3,False
Albrechtshof,2024-06-24 20:00:00,5.0,13.128916999999998,52.549396,0.0,0.2,20.0,2024-06-24,20,0,Berlin,Berlin,18.05,False
Albrechtshof,2024-06-24 21:00:00,5.0,13.128916999999998,52.549396,0.0,0.2,21.0,2024-06-24,21,0,Berlin,Berlin,16.5,False
Albrechtshof,2024-06-24 22:00:00,5.0,13.128917,52.549396,1.0,1.0,22.0,2024-06-24,22,0,Berlin,Berlin,15.55,False
Albrechtshof,2024-06-24 23:00:00,5.0,13.128917,52.549396,0.0,0.0,23.0,2024-06-24,23,0,Berlin,Berlin,14.95,False
Albrechtshof,2024-06-25 00:00:00,5.0,13.128917,52.549396,1.0,1.0,0.0,2024-06-25,0,1,Berlin,Berlin,14.5,False
Albrechtshof,2024-06-25 02:00:00,5.0,13.128917,52.549396,0.0,0.0,2.0,2024-06-25,2,1,Berlin,Berlin,14.350000000000001,False
Albrechtshof,2024-06-25 04:00:00,5.0,13.128917,52.549396,0.0,0.3333333333333333,4.0,2024-06-25,4,1,Berlin,Berlin,14.899999999999999,False
Albrechtshof,2024-06-25 05:00:00,5.0,13.128917,52.549396,0.0,0.25,5.0,2024-06-25,5,1,Berlin,Berlin,16.6,False
Albrechtshof,2024-06-25 06:00:00,5.0,13.128916999999998,52.549396,0.0,0.4,6.0,2024-06-25,6,1,Berlin,Berlin,19.25,False
Albrechtshof,2024-06-25 07:00:00,5.0,13.128916999999998,52.549396,0.0,0.0,7.0,2024-06-25,7,1,Berlin,Berlin,21.75,False
